Date,Open,High,Low,Close,Adj Close,Volume
2012-02-24,79.262238,81.835220,77.546913,79.619598,52.475468,25832106
2012-03-02,79.976959,80.548729,73.758911,77.189552,50.873878,29928307
2012-03-09,76.188950,80.405785,75.831589,78.261635,51.580467,24043957
2012-03-16,78.118690,78.833405,73.615967,73.901855,48.707039,29384496
2012-03-23,73.044189,75.760117,72.329475,73.901855,48.707039,29598411
2012-03-30,71.471809,74.187737,71.471809,72.829773,48.000462,41196011
2012-04-06,72.829773,72.829773,69.041771,69.363396,45.715836,37856669
2012-04-13,70.757095,72.901245,70.435471,72.758301,47.953342,33960394
2012-04-20,72.972717,73.044189,70.435471,72.686829,47.906239,25482451
2012-04-27,73.544495,75.617172,72.543892,74.759514,49.272301,22090233
2012-05-04,74.616570,75.188347,70.078110,71.257393,46.964130,25558175
2012-05-11,70.971512,70.971512,66.325844,66.575989,43.878727,38336029
2012-05-18,64.324631,66.826141,64.145950,65.146553,42.936615,32606562
2012-05-25,65.110817,67.433655,63.181080,63.967270,42.159370,27171326
2012-06-01,64.253159,64.646255,61.465759,63.931534,43.846813,34720062
2012-06-08,63.502705,64.717728,62.859459,63.967270,43.871319,17998339
2012-06-15,64.681992,67.290710,64.181686,66.111427,45.341873,25236349
2012-06-22,66.111427,67.183502,64.789200,66.182899,45.390881,21294253
2012-06-29,66.754669,71.436073,66.254372,71.257393,48.871174,27586337
2012-07-06,70.042374,71.293129,68.184105,68.362785,46.885937,25919416
2012-07-13,68.362785,72.901245,68.184105,71.686226,49.165295,28869307
2012-07-20,72.186531,72.901245,69.399132,70.113846,48.086899,24706363
2012-07-27,70.757095,74.044800,70.757095,73.115662,50.145660,24455151
2012-08-03,73.973328,79.619598,71.972115,79.405182,54.459263,49309023
2012-08-10,78.833405,79.905487,77.189552,78.190163,53.625961,38581706
2012-08-17,78.618996,78.904877,76.474838,77.332497,53.037731,22218367
2012-08-24,76.617783,77.046616,73.187134,74.187737,50.880920,29033429
2012-08-31,74.116264,76.975143,74.044800,74.187737,50.880920,24264984
2012-09-07,75.402763,80.405785,75.116875,79.548126,54.557304,30285778
2012-09-14,81.477867,82.907303,80.477257,80.691673,55.719627,32907469
